name,city,total_reviews,review_content,overall_rating,food_rating,service_rating,ambience_rating,date
Sonya,Philadelphia,1 review,The atmosphere was beautiful service was great. The food was good could have been excellent if it was homemade. Very disappointed because it was not homemade when the other restaurant around have homemade!,3,2,2,5,Dined 3 days ago
Siobhan,New York City,1 review,Beautiful place and the food is honestly fabulous. It was a bit cold in the bit we sat at. Other than that the atmosphere and food really makes the this a great place to eat.,4,5,4,5,Dined 3 days ago
Ann,Cincinnati,54 reviews,Beautiful Christmas decor. Fun atmosphere. Excellent service,5,5,5,5,Dined 3 days ago
Arty,Greater Boston,2 reviews,Great time as usual. Haven’t been since 2017.Started going in 2001 so we’ve been dining a long time. Love everything about. Especially outside decorations!!!,5,5,5,5,Dined 3 days ago
Nicole,Toronto,1 review,Loved everything about Il Cortile. Highly recommend!,5,5,5,5,Dined 4 days ago
Yesenia,Caribbean,1 review,Una experiencia gastronómica sin igual. Atención a los detalles dispuestos a complacer el paladar con el auténtico sabor de Italia. Recomendado para parejas y familia.,5,5,5,5,Dined 4 days ago
Eileen,New York City,1 review,We had a wonderful time.  Was a large group of cousins who see each other twice a year and we all loved the restaurant and the staff our waiter Frank was unbelievable.  Food was delicious and Franks guidance on choices and wine super helpful.  The decorations made it so festive.  We thank you for a really great night!!!    Merry Christmas,5,5,5,5,Dined 4 days ago
FRANCO,San Francisco,2 reviews,Great experience love it  the food was terrific and the atmosphere was amazing thank you,5,5,5,5,Dined 5 days ago
Jake,Chicago,1 review,Great food great service by Angelo fantastic experience overall!,5,5,5,5,Dined 5 days ago
Ron,New York City,2 reviews,Where locals eat and meet..Delicious food always in the heart of little Italy…You won’t be disappointed,5,5,5,5,Dined 7 days ago
Thomas,New York City,3 reviews,The food and service was fantastic.  If I lived in NYC I would eat there often.  Best meal we had in 6 days trip to NYC.,5,5,5,5,Dined on December 4 2024
Celina,Caribbean,5 reviews,Frank the waiter was friendly and very efficient. The restaurant was beautifully decorated for Christmas. The food was delicious and service was fast.,5,5,5,5,Dined on December 2 2024
Nautica,New York City,1 review,Staff was very nice! Accosted to any issues we had However the food and drinks were mediocre.,3,2,4,4,Dined on December 1 2024
Kevin,New York City,34 reviews,As always great food superb service at excellent NYC  prices.   A wonderful experience yet again. HIGHLY recommended!,5,5,5,5,Dined on December 1 2024
Lillian,Richmond,1 review,The restaurant was nicely decorated for the holidays so provided a nice ambience. The food was delicious.,5,5,4,5,Dined on November 30 2024
Tammi,Kansas City,2 reviews,Very nice. The service was excellent. The food was very good,5,5,5,4,Dined on November 29 2024
Paul,Washington DC,12 reviews,Excellent food and service festive environment dressed for the holiday season.  Would recommend for couples and families.,5,5,5,5,Dined on November 25 2024
Allen,Greater Boston,38 reviews,Great food great people! Would definitely go back!,5,5,5,5,Dined on November 25 2024
Tommy,New York City,34 reviews,I was with a party of 10 people. Many of them have eaten here before but it was my first time. Appetizers were good although a little small. I had a pasta dish that included some chicken and the chicken was way overcooked and hard so I was basically disappointed with my main course. I asked the others about their dishes and they weren’t blown away either.,4,4,5,4,Dined on November 24 2024
JennyThomas,Houston,8 reviews,Great atmosphere and service and food was superb. Overall great dining experience,5,5,5,5,Dined on November 24 2024
Michael,Los Angeles,43 reviews,The best! Visit every year. Such great food and service,5,5,5,5,Dined on November 16 2024
ERIC,New York City,28 reviews,Excellent from beginning to endit's a classic spot,5,5,5,5,Dined on November 11 2024
Alison,Baltimore,3 reviews,We have been going to this restaurant for many years and have never had anything less than exceptional service and food. The ambience is wonderful. A New York classic!,5,5,5,5,Dined on November 9 2024
Valentina,Mexico City,8 reviews,Nos fué muy bien en la comida. Nos costó un poco de trabajo emcontrar el restaurante xq el letrero es muy pequeño pero de ahí en fuera todo muy bien,4,4,4,4,Dined on November 4 2024
Randall,Austin,1 review,Food was awesome. We had a group of 8 and the service was great. We all tried something different and not one bad meal anywhere. Atmosphere was awesome with that small Italian resteraunt feel.  Highly recommend.,5,5,5,5,Dined on November 3 2024
elena,Philadelphia,22 reviews,I have dined at il Cortile a number of times and each is better than the last. The food is excellent but the best part of this restaurant is the staff. Where in the world did this amazing group of professionals come from?  Each person who helped us was knowledgeable and efficient but also friendly welcoming and kind. Il Cortile is truly a wonderful dining experience.,5,5,5,5,Dined on November 2 2024
Alex,Las Vegas,5 reviews,Great Italian restaurant in Little Italy. Great ambiance and service. Only negative I can think of is I expect from good restaurants that they include biscotti and natural sugar cubes with my after dinner espresso.,5,5,5,5,Dined on October 29 2024
nicole,New York City,2 reviews,We always go here when we visit NYC and for over a decade it's been the BEST!,5,5,5,5,Dined on October 27 2024
Carlos,Mexico City,5 reviews,Great food excellent attention superb atmosphere,4,4,4,5,Dined on October 24 2024
Kyoko,Vancouver,4 reviews,We had a variety of dishes-antipasto salad pastas fish… everything was delicious. Despite there being a wedding in the main dining area food arrived in a timely fashion and we got great service from our waiter Frank.,5,5,5,5,Dined on October 21 2024
James,New York City,2 reviews,Food was decent but I have to give a special shoutout to Angelo our server who really went out of his way to take care of us. Coming from the service industry this really goes a long way so I wanted to give him his props.,3,3,4,4,Dined on October 20 2024
OpenTable Diner,Pittsburgh,2 reviews,We go to this restaurant every time we go to NYC and it never disappoints. Highly recommend it.,5,5,5,5,Dined on October 19 2024
Katrin,New York City,1 review,Basic little Italy restaurant. Waiters were okay. I would not knowingly eat at a place that serves veal so that was a mistake.,3,3,3,3,Dined on October 13 2024
Mark,New York City,2 reviews,Sadly this restaurant is not what it used to be.  Little Italy is still a fun stop for anyone visiting NYC but dining is not an essential part of the stop.,3,2,3,3,Dined on October 12 2024
Kira,Milwaukee,2 reviews,Great experience. Loved the food and service. Sat outside. Would recommend.,5,5,5,5,Dined on October 6 2024
Mike,San Diego,20 reviews,Always a pleasure when we visit the City. Sat outside did not have to wait for someone to get us menus and water. Ordered our wine the appetizers. When we were done with appetizers we ordered entrees. Not rushed at all very relaxing.,5,5,5,4,Dined on October 6 2024
Gary,New York City,29 reviews,Yeah the food was OK typical little Italy red sauce place. The ambience was nice. Live music and an accordion player walking around. Not very Italian the south Spanish but not Italian. The biggest problem was accessibility. When I made the reservation I alerted them that I was in a large power wheelchair and asked to any accessibility. The only bathroom in the restaurant is down several steps flights of stairs. There was no accommodation for someone in the wheelchair. This made it very uncomfortable for me. I should have been informed when I made the reservation.,2,4,3,4,Dined on October 5 2024
WCFoodie,San Francisco,3 reviews,A great Little Italy restaurant. Not super touristy with very attentive service and a good mix of menu options.,5,5,5,5,Dined on October 4 2024
Donna,New York State,4 reviews,Food was very good & authentic Italian. There was a party in the rear room/atrium so it was a bit noisy.  Service was very good also.  I’m glad I went!,4,4,5,4,Dined on September 30 2024
Shelly,Indiana,4 reviews,The outdoor courtyard has a great ambiance. I recommend to sit there. Our waiter was not attentive at all had to wave him down to get anything. The man helping with water and such was awesome. He saw me trying to get little ice cubes from my water and ran over with a full glass of ice. He should be the waiter. For Little Italy we were not very impressed with the food.,3,3,2,4,Dined on September 29 2024
HarveyS,San Francisco,8 reviews,Times have changed.I first started going to Il Cortile,4,4,4,4,Dined on September 29 2024
OpenTable Diner,Washington DC,3 reviews,A great Italian restaurant i,5,5,5,5,Dined on September 28 2024
Wilma,New York City,4 reviews,The entire experience was so wonderful that our party plans to meet here once a month. The food was delicious from appetizers (fried mozzarella) to entrees (Chicken Francese and pork chops) to desserts (tiramisu). Our server was attentive and very pleasant. Also there were tables of various sizes able to accommodate all party sizes. I highly recommend this restaurant.,5,5,5,5,Dined on September 27 2024
ali,Toronto,3 reviews,The food was delicious portions were massive and service was quick. Went during the Sam Gennaro festival and they accommodated us when we asked to sit outside so we can be surrounded by the fun of the festival! Awesome experience. Grazie mille :),5,5,5,5,Dined on September 23 2024
Mette,Orlando,1 review,What a terrible place.  Bad food bad service and no one did anything to the guest in the middel of the room shouting so loud that we couln’t even talk about how bad the food was.The Waiter Boeing crossed when we didn’t want to sit on the street (there was a Big feast and therefor even noisier out there.,1,1,1,1,Dined on September 22 2024
Chris,Seattle,15 reviews,I have been here 4 times in the past 20 years and have always loved the meals and service.  I even sat at an adjacent table to Jon Voight Michael Imperioli and Edie Falco which was a double treat!  Last night our meals were delicious.  Three of us had pasta dishes and I ordered the steak dinner which was delicious although I would have preferred a bed of polenta to rice with my steak.Frank was outstanding as our server and we all enjoyed a wonderful time once again.  Thank you for your hospitality.,4,4,5,4,Dined on September 21 2024
Mia,Greece,3 reviews,We had a lovely meal this evening .. the staff were friendly and although there was no children’s menu the chef kindly cooked our toddler spaghetti Bolognese that wasn’t even on the menu! Only negative is we felt a bit rushed towards the end of our sitting but I understand it was busy and probably the table was needed. Would recommend!,4,4,5,5,Dined on September 20 2024
Carl,New York City,1 review,Il Cortile is excellent in all ways. It is my favorite NYC restaurant.,5,5,5,5,Dined on September 19 2024
Doreen,New York City,25 reviews,Loved the meal menu was limited wanted the short rib ravioli . Busy but delightful,5,5,5,5,Dined on September 15 2024
OpenTable Diner,Caribbean,3 reviews,Wonderful experience! Staff was polite and professional and the food was quick to table - very well balanced flavors.  Great place 100% recommend,5,5,5,5,Dined on September 15 2024
Tom,Minneapolis,1 review,Our new favorite restaurant. Pasta was al dente calamari was perfect. Oil & garlic on linguini was subtle. Tomato sauce was rich and flavorful but not overwhelming.,5,5,5,4,Dined on September 15 2024
George,San Joaquin,14 reviews,VERY authentic Italian right in the middle of the Mulberry Street action in Little Italy. Food and Service were outstanding. Love the energy. You want calm and quiet? Fine. But you want fun and good head to Little Italy and Il Cortile.,5,5,5,5,Dined on September 15 2024
Dominick,New York City,26 reviews,The food service and atmosphere were all perfect.  Special thank you to Daniel and the restaurant manager. Our table was exceptional!,5,5,5,5,Dined on September 15 2024
Sergio,New York City,1 review,Outstanding food and service first visit and planning to go back on my next visit to NY.,5,5,5,5,Dined on September 13 2024
Michelle,Greater Boston,1 review,The menu price of the wine we ordered was $50 a bottle but we were charged $75 there was a random “operating fee” added to our bill. The food was mediocre and the ambience was a bit dated and depressing. Would not recommend and will not return.,2,2,2,2,Dined on September 6 2024
Joseph,New York City,3 reviews,I took my girlfriend here after a nice day out in the city and we both enjoyed it very much. We sat in the back room which has a very nice ambiance and is decorated very pretty. The food was delicious! We had the fried calamari appetizer and for dinner I had the chicken parm and my girlfriend ordered the chicken rollatine. I would definitely recommend dining here!,5,4,4,4,Dined on September 3 2024
shawn,Miami,6 reviews,There are so many Italian restaurants on Mulberry Street that it's hard to know which ones are better than others.  Il Cortile came recommended by 2 serious Italian-American food lovers so we gave it a try and discovered why it was recommended.They served all of our Italian American favorites and each one was stellar: linguine alla vongole overflowing with fresh baby clams and chicken parmigiana and pasta fagioli as good as Grandma's.,5,5,5,5,Dined on September 2 2024
Roger,New York City,8 reviews,This was not our first visit and will definitely not be or last. We visit Il Cortile everytime we come into NYC. Today we were able to sit in the garden area for the first time. It was like we left NYC and ended up in a garden in Italy. Will definitely request the garden in the future. The food was amazing as always with exceptional service. Everyone cared that our experience was a good one.,5,5,5,5,Dined on September 2 2024
Asghar,New York City,1 review,Fantastic food and service will return for sure. Excellent hosts,5,5,5,5,Dined on August 18 2024
OpenTable Diner,Greater Boston,1 review,Wonderful staff fully attentive! Food was absolutely delicious. Next time we are in NYC we will surly be back!,5,5,5,5,Dined on August 18 2024
Jasmin,New York City,3 reviews,The experience was amazing. All the employees were so kind. I give the food 5 stars. Keep it up!!!!,5,5,5,5,Dined on August 17 2024
